Player,Salary,Pos,Age,Tm,G,MP,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,BPM,VORP
Garrett Temple,"$8,000,000 ",SG,31,SAC,65,1615,10.2,0.536,5.4,11.2,1.8,1.6,13.4,16.4,0.3,0.8,1.1,-2,0
Furkan Korkmaz,"$1,465,920 ",SG,20,PHI,12,69,6.5,0.446,8.6,6,1.4,1.2,7.2,17.2,0,0.1,0,-5.3,-0.1
Fred VanVleet,"$1,312,611 ",PG,23,TOR,73,1478,16.2,0.562,6.9,22.6,2.2,1,10.7,19.1,2.9,1.9,4.7,2.2,1.6
Frank Ntilikina,"$3,501,120 ",PG,19,NYK,74,1566,6.5,0.429,5.8,19.8,1.9,0.9,20.5,17,-2.1,1,-1.2,-4.4,-0.9
Frank Mason,"$1,184,385 ",PG,23,SAC,51,972,13.1,0.479,7.5,22.8,1.8,1,12.7,22.5,0.1,0.5,0.6,-3.3,-0.3
Frank Kaminsky,"$2,847,600 ",PF,24,CHO,76,1755,14,0.542,8.4,10.8,1,0.9,7.9,20.3,2,1.3,3.2,-1.2,0.4
Evan Turner,"$17,131,148 ",SF,29,POR,75,1910,9.9,0.519,6.6,12.4,1,1.1,13.5,15.7,0.6,1.8,2.4,-2.1,0
Evan Fournier,"$17,000,000 ",SF,25,ORL,57,1837,15.6,0.577,5.4,14.8,1.3,0.7,9.8,23.3,2.5,0.9,3.4,-0.4,0.7
E'Twaun Moore,"$8,445,024 ",SG,28,NOP,78,2468,11.9,0.587,5.1,10,1.5,0.4,10.7,16.2,2.4,1.5,3.9,-0.4,1
Ersan Ilyasova,"$6,000,000 ",PF,30,TOT,65,1627,14.5,0.555,12.6,7.6,1.7,1.2,9.7,18.4,1.9,1.7,3.6,-0.2,0.7
Ersan Ilyasova,"$6,000,000 ",PF,30,ATL,46,1175,15.1,0.569,11.9,6.8,1.8,1.2,8.9,18,1.6,1,2.6,0,0.6
Ersan Ilyasova,"$6,000,000 ",PF,30,PHI,19,452,13.1,0.523,14.3,9.5,1.5,1.1,11.6,19.6,0.3,0.7,1,-0.8,0.1
Erik McCree,$0 ,SF,24,UTA,4,8,-8.9,0,7.1,0,6.3,0,33.3,16.9,-0.1,0,-0.1,-14.8,0
Eric Moreland,"$1,739,333 ",PF,26,DET,63,715,13,0.511,19,13.5,1.7,5.7,25.9,9.3,0.4,1.4,1.9,2.2,0.8
Eric Gordon,"$12,943,020 ",SG,29,HOU,68,2127,15.3,0.58,4.5,11.6,1,1.1,10.8,24.8,3,1.7,4.7,-1,0.6
Eric Bledsoe,"$14,500,000 ",PG,28,MIL,67,2126,19.6,0.58,7.2,25.2,3.2,1.5,16,26.3,2.7,2.3,5,2.1,2.2
Eric Bledsoe,"$14,500,000 ",PG,28,TOT,70,2209,19.3,0.577,7.1,24.9,3.2,1.5,16.1,26.3,2.6,2.3,4.9,1.8,2.1
Eric Bledsoe,"$14,500,000 ",PG,28,PHO,3,83,13,0.509,4.5,17.9,2.3,1.9,17.8,28.7,-0.1,0,0,-5,-0.1
Enes Kanter,"$20,566,802 ",C,25,NYK,71,1830,24,0.63,23.7,9.5,1,1.8,13.3,21.8,5.5,2.1,7.6,2.6,2.1
Emmanuel Mudiay,"$3,381,480 ",PG,21,NYK,21,485,10.6,0.432,6.5,25.4,2,1.3,15.1,23.8,-0.6,0.4,-0.3,-4,-0.2
Emmanuel Mudiay,"$3,381,480 ",PG,21,DEN,42,752,12.3,0.504,7,24,1.4,0.4,16.8,24.7,0,0.3,0.3,-5.1,-0.6
Emmanuel Mudiay,"$3,381,480 ",PG,21,TOT,63,1237,11.6,0.476,6.8,24.6,1.6,0.8,16.2,24.4,-0.7,0.7,0,-4.7,-0.8
Emeka Okafor,"$239,204 ",C,35,NOP,24,341,16.3,0.538,18.7,2.8,1.1,5.8,11.4,14.5,0.5,0.5,1,-1.6,0
Elfrid Payton,"$3,332,340 ",PG,23,TOT,63,1808,16.6,0.538,8.3,34.9,2.2,1,18.5,21.8,1.4,1.4,2.9,0.1,1
Elfrid Payton,"$3,332,340 ",PG,23,ORL,44,1257,18.1,0.564,7.6,35.4,2.5,1,18.3,21.8,1.6,1.1,2.8,1.1,1
Elfrid Payton,"$3,332,340 ",PG,23,PHO,19,551,13.1,0.481,9.7,33.9,1.7,0.9,18.8,22.1,-0.2,0.3,0.1,-2.1,0
Ekpe Udoh,"$3,200,000 ",C,30,UTA,59,783,15.3,0.566,10.4,9.1,2.7,7.8,12.5,9.2,1.3,1.7,3,5.6,1.5
Ed Davis,"$6,352,531 ",C,28,POR,76,1439,15.8,0.61,21.3,4,1.1,2.9,15.8,12.2,2.6,2.4,5,0.1,0.8
Dwyane Wade,"$15,550,000 ",SG,36,CLE,46,1069,15.9,0.519,9.5,23.3,1.9,2.6,15.7,24.3,0.4,0.9,1.3,-1.3,0.2
Dwyane Wade,"$15,550,000 ",SG,36,TOT,64,1476,15.5,0.506,9.3,23.7,1.9,2.6,15.5,26.1,-0.2,1.5,1.4,-1.7,0.1
Dwyane Wade,"$15,550,000 ",SG,36,MIA,18,407,14.4,0.48,8.9,24.8,2,2.7,15,30.9,-0.5,0.6,0.1,-2.8,-0.1
Dwight Powell,"$9,003,125 ",C,26,DAL,76,1587,18.7,0.661,14.8,8.1,2,1.7,10.6,15.4,4.4,2,6.4,2.7,1.9
Dwight Howard,"$23,500,000 ",C,32,CHO,78,2384,20.5,0.578,21.9,7.1,1,4.5,15.2,24.3,2.8,3.7,6.4,-0.3,1
Dwight Buycks,"$748,160 ",PG,28,DET,29,427,12.8,0.498,5.3,22.4,2.2,0.4,15.3,26.4,-0.2,0.4,0.3,-4.2,-0.2
